type	classe	imageName	date	scene	Vmin	Vmax	Vmean	Rmin	Rmax	Rmean	NIRmin	NIRmax	NIRmean	MIRmin	MIRmax	MIRmean	evi2min	evi2max	evi2mean	ndcimin	ndcimax	ndcimean	ndvimin	ndvimax	ndvimean	mntmin	mntmax	mntmean	ndwimin	ndwimax	ndwimean
foret	10	20111205-690-343	20111205	690-343	168	414	293,85	40	53	46,11	67	87	76,34	76	223	140,35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
roche	4	20111205-690-343	20111205	690-343	172	329	223,01	48	81	66,27	76	95	86,9	93	234	194,54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
palmier bache	3	20111205-690-343	20111205	690-343	253	307	284,27	43	46	45	74	79	76,8	111	134	119,47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
palmier bache	3	20111205-690-343	20111205	690-343	296	324	309,33	45	49	46,08	75	83	77,75	113	134	123,17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vegbasse	2	20111205-690-343	20111205	690-343	418	477	463,15	53	61	57	89	101	95,77	171	215	199,23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
roche	4	20111205-690-343	20111205	690-343	78	328	194,37	35	79	53,1	61	92	76,3	52	234	162,99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
roche	4	20111205-690-343	20111205	690-343	163	361	231,49	49	81	64,2	79	91	83,32	129	234	206,55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vegbasse	2	20111205-690-343	20111205	690-343	378	442	413,24	49	53	51,38	79	88	85,29	147	197	185,1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
roche	4	20111205-690-343	20111205	690-343	159	296	222,9	44	78	62,23	76	94	85,27	125	234	194,58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
foret	10	20111205-690-343	20111205	690-343	178	470	333,12	43	54	48,06	72	90	79,54	83	207	152,87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nuage	6	20111205-690-343	20111205	690-343	314	477	444,79	173	241	238,38	179	190	188,96	233	234	233,01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ombre	7	20111205-690-343	20111205	690-343	59	116	73,76	30	35	31,3	56	68	58,45	28	50	33,91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
frange	8	20111205-690-343	20111205	690-343	316	356	341,63	101	161	134,32	127	180	159,58	205	234	226,84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
frange	8	20111205-690-343	20111205	690-343	299	324	314,91	84	106	94,09	109	132	120,18	174	234	201,36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
frange	8	20111205-690-343	20111205	690-343	292	348	319,83	88	168	120,86	106	190	145,54	174	234	214,31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nuage	6	20111205-690-343	20111205	690-343	326	470	386,62	116	241	206,19	145	190	187,44	216	234	232,86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vegbasse	2	20111205-690-343	20111205	690-343	369	433	400,5	50	57	53,12	83	97	90,78	167	213	200,41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vegbasse	2	20111205-690-343	20111205	690-343	393	477	446,48	45	51	47,74	81	87	82,83	164	219	188,96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vegbasse	2	20111205-690-343	20111205	690-343	376	477	422,34	47	53	50,14	79	91	85,14	169	206	184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
djogounpete	1	20111205-690-343	20111205	690-343	179	314	238,8	44	53	47,7	72	82	76,24	103	147	126,53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
djogounpete	1	20111205-690-343	20111205	690-343	185	294	234,65	43	53	47,93	71	81	76,31	89	147	124,75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
djogounpete	1	20111205-690-343	20111205	690-343	200	307	250,47	43	51	47,16	71	78	75,68	105	144	128,1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
roche	4	20120621-690-343	20120621	690-343	116	217	159,58	35	92	56,89	58	102	70,92	159	245	209,01	0,07	0,41	0,18	0,41	0,66	0,57	0,04	0,25	0,11	NA	NA	NA	-0,66	-0,41	-0,57
foret	10	20120621-690-343	20120621	690-343	122	364	248,47	28	54	36,33	48	75	61,92	83	177	134,02	0,23	0,55	0,43	0,39	0,66	0,57	0,15	0,33	0,26	NA	NA	NA	-0,66	-0,39	-0,57
palmier bache	3	20120621-690-343	20120621	690-343	202	244	228,99	32	39	36,72	58	68	63,51	101	115	110,01	0,4	0,49	0,44	0,46	0,56	0,5	0,25	0,3	0,27	NA	NA	NA	-0,56	-0,46	-0,5
palmier bache	3	20120621-690-343	20120621	690-343	196	282	241,86	31	42	33,91	55	65	58,75	95	109	105,72	0,35	0,48	0,44	0,43	0,56	0,51	0,22	0,29	0,27	NA	NA	NA	-0,56	-0,43	-0,51
vegbasse	2	20120621-690-343	20120621	690-343	320	411	361,2	37	43	40,31	65	75	70,69	157	192	174,76	0,41	0,52	0,45	0,6	0,66	0,62	0,25	0,31	0,27	NA	NA	NA	-0,66	-0,6	-0,62
foret	10	20120621-690-343	20120621	690-343	137	432	276,91	29	57	37,19	50	78	63,73	98	191	143,04	0,22	0,52	0,43	0,4	0,67	0,59	0,14	0,31	0,26	NA	NA	NA	-0,67	-0,4	-0,59
vegbasse	2	20120621-690-343	20120621	690-343	341	419	390,84	40	45	43,47	70	77	74,16	173	195	184,96	0,38	0,47	0,43	0,6	0,64	0,62	0,23	0,28	0,26	NA	NA	NA	-0,64	-0,6	-0,62
frange	8	20120621-690-343	20120621	690-343	234	284	264,88	63	102	88,34	87	133	115,94	151	180	171,44	0,17	0,28	0,21	0,27	0,43	0,32	0,11	0,17	0,14	NA	NA	NA	-0,43	-0,27	-0,32
ombre	7	20120621-690-343	20120621	690-343	141	200	164,33	51	63	57,87	75	88	81,48	83	106	94,62	0,22	0,32	0,27	0,2	0,28	0,24	0,14	0,2	0,17	NA	NA	NA	-0,28	-0,2	-0,24
ombre	7	20120621-690-343	20120621	690-343	109	170	134,25	40	71	58,08	63	97	81,7	69	98	82,35	0,21	0,38	0,27	0,12	0,37	0,17	0,14	0,23	0,17	NA	NA	NA	-0,37	-0,12	-0,17
nuage	6	20120621-690-343	20120621	690-343	310	447	398,43	202	336	283,23	234	368	315,56	223	383	315,17	0,06	0,12	0,08	-0,01	0,15	0,05	0,04	0,08	0,05	NA	NA	NA	-0,15	0,01	-0,05
frange	8	20120621-690-343	20120621	690-343	139	310	241,86	59	170	121,31	80	200	147,42	100	215	169,69	0,11	0,24	0,15	0,11	0,27	0,17	0,08	0,16	0,1	NA	NA	NA	-0,27	-0,11	-0,17
ombre	7	20120621-690-343	20120621	690-343	120	194	156,3	43	65	53,62	65	90	76,17	75	106	91,58	0,22	0,34	0,27	0,2	0,34	0,26	0,14	0,21	0,17	NA	NA	NA	-0,34	-0,2	-0,26
nuage	6	20120621-690-343	20120621	690-343	291	537	455,02	180	397	350,1	204	427	381,23	218	387	345,4	0,04	0,11	0,07	-0,07	0,16	0	0,03	0,07	0,04	NA	NA	NA	-0,16	0,07	0
ombre	7	20120621-690-343	20120621	690-343	65	122	85,1	34	43	37,62	51	60	54,95	42	57	49,17	0,21	0,37	0,3	0,06	0,21	0,13	0,14	0,23	0,19	NA	NA	NA	-0,21	-0,06	-0,13
frange	8	20120621-690-343	20120621	690-343	234	337	290,19	74	188	127,63	97	217	152,07	159	256	210,91	0,09	0,2	0,14	0,15	0,36	0,25	0,06	0,13	0,09	NA	NA	NA	-0,36	-0,15	-0,25
vegbasse	2	20120621-690-343	20120621	690-343	381	457	420,64	42	46	44,86	72	78	75,69	191	220	204,74	0,39	0,44	0,42	0,61	0,66	0,64	0,24	0,27	0,26	NA	NA	NA	-0,66	-0,61	-0,64
vegbasse	2	20120621-690-343	20120621	690-343	350	413	379,12	42	43	43	72	78	75,53	171	186	177,97	0,42	0,47	0,45	0,6	0,63	0,61	0,26	0,29	0,27	NA	NA	NA	-0,63	-0,6	-0,61
djogounpete	1	20120621-690-343	20120621	690-343	128	274	184,17	31	49	39,1	53	73	62,17	101	138	121,38	0,27	0,48	0,37	0,41	0,6	0,51	0,17	0,29	0,23	NA	NA	NA	-0,6	-0,41	-0,51
djogounpete	1	20120621-690-343	20120621	690-343	122	267	184,45	31	46	38,36	53	70	61,42	100	138	119,86	0,28	0,48	0,37	0,45	0,58	0,51	0,18	0,29	0,23	NA	NA	NA	-0,58	-0,45	-0,51
djogounpete	1	20120621-690-343	20120621	690-343	135	253	187,11	32	46	38,94	56	73	62,2	107	138	122,51	0,29	0,46	0,37	0,43	0,59	0,52	0,19	0,28	0,23	NA	NA	NA	-0,59	-0,43	-0,52
djogounpete	1	20120621-690-343	20120621	690-343	137	238	182,56	32	49	39,27	53	80	62,34	110	138	124,87	0,27	0,47	0,37	0,44	0,58	0,52	0,17	0,28	0,23	NA	NA	NA	-0,58	-0,44	-0,52
foret	10	20120621-690-343	20120621	690-343	124	367	206,28	29	60	38,09	51	80	62,15	91	142	118,15	0,22	0,49	0,39	0,34	0,59	0,51	0,14	0,3	0,24	NA	NA	NA	-0,59	-0,34	-0,51
foret	10	20120621-690-343	20120621	690-343	116	346	217,37	26	51	37,4	48	75	61,46	88	168	125,68	0,24	0,5	0,4	0,43	0,64	0,54	0,15	0,3	0,24	NA	NA	NA	-0,64	-0,43	-0,54
foret	10	20120621-690-343	20120621	690-343	137	297	218,51	29	46	37,29	51	73	61,55	92	145	123,41	0,29	0,5	0,4	0,45	0,61	0,54	0,19	0,3	0,25	NA	NA	NA	-0,61	-0,45	-0,54
Pinotière	11	20120621-690-343	20120621	690-343	232	286	261,67	32	40	36,2	58	66	62,97	109	139	122,99	0,38	0,52	0,44	0,49	0,59	0,54	0,23	0,31	0,27	NA	NA	NA	-0,59	-0,49	-0,54
pinot	11	20120621-690-343	20120621	690-343	202	282	248	31	40	35,85	56	68	62,15	106	122	114,63	0,37	0,54	0,44	0,47	0,58	0,52	0,23	0,32	0,27	NA	NA	NA	-0,58	-0,47	-0,52
Pinot	11	20120621-690-343	20120621	690-343	210	259	237,2	29	40	34,13	55	65	59,43	106	129	118,25	0,38	0,5	0,45	0,5	0,59	0,55	0,23	0,3	0,27	NA	NA	NA	-0,59	-0,5	-0,55
foret	10	20120621-690-343	20120621	690-343	122	314	211,99	28	45	35,49	48	78	59,65	81	141	115,21	0,29	0,54	0,41	0,43	0,6	0,53	0,19	0,32	0,25	NA	NA	NA	-0,6	-0,43	-0,53
foret	10	20120621-690-343	20120621	690-343	118	305	220,52	28	46	35,97	48	72	60,43	81	150	120,55	0,31	0,52	0,41	0,43	0,61	0,54	0,19	0,31	0,25	NA	NA	NA	-0,61	-0,43	-0,54
vegbasse	2	20120621-690-343	20120621	690-343	282	411	363,64	34	42	38,39	61	72	67,89	144	188	172,28	0,4	0,51	0,46	0,59	0,67	0,64	0,25	0,31	0,28	NA	NA	NA	-0,67	-0,59	-0,64
vegbasse	2	20120621-690-343	20120621	690-343	284	392	333,19	35	40	37,66	61	72	66,99	129	163	150,67	0,41	0,53	0,46	0,56	0,62	0,6	0,25	0,31	0,28	NA	NA	NA	-0,62	-0,56	-0,6
vegbasse	2	20120621-690-343	20120621	690-343	301	409	358,91	37	48	41,5	66	80	74,01	154	180	167,18	0,39	0,54	0,47	0,54	0,63	0,6	0,24	0,32	0,28	NA	NA	NA	-0,63	-0,54	-0,6
Pinot	11	20120621-690-343	20120621	690-343	234	248	244,73	32	34	34,12	58	60	59,46	106	113	109,46	0,43	0,49	0,45	0,52	0,54	0,52	0,26	0,3	0,27	NA	NA	NA	-0,54	-0,52	-0,52
Bache	3	20120621-690-343	20120621	690-343	202	234	216,6	37	49	42,75	61	75	66,19	104	124	112,31	0,27	0,4	0,35	0,41	0,49	0,45	0,17	0,25	0,22	NA	NA	NA	-0,49	-0,41	-0,45
bache	3	20120621-690-343	20120621	690-343	204	242	224,5	37	43	39,91	60	66	65,32	110	116	114,54	0,34	0,45	0,39	0,43	0,51	0,48	0,21	0,27	0,24	NA	NA	NA	-0,51	-0,43	-0,48
roche	4	20120912-690-343	20120912	690-343	140	250	178,37	45	116	65,23	64	123	77,19	146	271	229,81	0,03	0,32	0,13	NA	NA	NA	0,02	0,2	0,09	NA	NA	NA	NA	NA	NA
vegbasse	2	20120912-690-343	20120912	690-343	221	408	338,75	38	51	43,85	62	79	71,1	137	187	166,97	0,31	0,43	0,38	NA	NA	NA	0,2	0,26	0,24	NA	NA	NA	NA	NA	NA
vegbasse	2	20120912-690-343	20120912	690-343	209	429	382,6	39	52	46,17	61	79	72,58	141	205	186,56	0,24	0,41	0,36	NA	NA	NA	0,15	0,25	0,22	NA	NA	NA	NA	NA	NA
roche	4	20120912-690-343	20120912	690-343	148	273	199,56	38	75	55,46	59	84	69,61	95	236	166,42	0,03	0,37	0,18	NA	NA	NA	0,02	0,23	0,12	NA	NA	NA	NA	NA	NA
palmier bache	3	20120912-690-343	20120912	690-343	231	284	255,21	38	45	41,13	62	70	66,33	109	121	114,52	0,33	0,42	0,38	NA	NA	NA	0,21	0,25	0,23	NA	NA	NA	NA	NA	NA
palmier bache	3	20120912-690-343	20120912	690-343	217	288	257,16	35	41	38	59	67	62,54	87	113	103,86	0,35	0,43	0,4	NA	NA	NA	0,22	0,26	0,24	NA	NA	NA	NA	NA	NA
nuage	6	20120912-690-343	20120912	690-343	277	491	403,17	92	363	262,01	111	377	275,3	187	353	322,03	0,01	0,15	0,04	NA	NA	NA	0,01	0,1	0,03	NA	NA	NA	NA	NA	NA
frange	8	20120912-690-343	20120912	690-343	271	340	296,7	55	74	63,2	81	99	88	148	173	161,2	0,21	0,31	0,26	NA	NA	NA	0,13	0,2	0,17	NA	NA	NA	NA	NA	NA
ombre	7	20120912-690-343	20120912	690-343	80	211	101,66	28	38	30,29	50	61	52,76	41	98	51,2	0,37	0,52	0,44	NA	NA	NA	0,23	0,31	0,27	NA	NA	NA	NA	NA	NA
frange	8	20120912-690-343	20120912	690-343	229	310	276,81	42	119	78,6	68	143	101,17	131	216	176,38	0,1	0,38	0,21	NA	NA	NA	0,06	0,24	0,14	NA	NA	NA	NA	NA	NA
nuage	6	20120912-690-343	20120912	690-343	263	354	306,25	58	195	126,97	81	214	146,09	153	286	219,75	0,07	0,27	0,12	NA	NA	NA	0,05	0,17	0,08	NA	NA	NA	NA	NA	NA
nuage	6	20120912-690-343	20120912	690-343	275	491	475,2	140	363	348,18	162	389	371,03	214	353	350,13	0,01	0,11	0,05	NA	NA	NA	0,01	0,07	0,03	NA	NA	NA	NA	NA	NA
ombre	7	20120912-690-343	20120912	690-343	78	169	103,47	34	49	36,02	53	70	55,77	40	83	49,66	0,23	0,4	0,35	NA	NA	NA	0,15	0,25	0,22	NA	NA	NA	NA	NA	NA
frange	8	20120912-690-343	20120912	690-343	242	308	279,76	44	96	63,55	65	119	87,15	132	191	155,76	0,16	0,36	0,26	NA	NA	NA	0,1	0,23	0,16	NA	NA	NA	NA	NA	NA
vegbasse	2	20120912-690-343	20120912	690-343	259	415	360,53	39	48	43,29	62	81	71,98	131	203	175,16	0,34	0,45	0,41	NA	NA	NA	0,21	0,28	0,25	NA	NA	NA	NA	NA	NA
roche	4	20120912-690-343	20120912	690-343	105	223	152,11	37	66	45,1	56	79	62,51	85	249	155,15	0,07	0,43	0,26	NA	NA	NA	0,05	0,26	0,16	NA	NA	NA	NA	NA	NA
roche	4	20120912-690-343	20120912	690-343	129	238	167,53	42	62	49,48	61	73	65,23	116	256	187,1	0,09	0,34	0,21	NA	NA	NA	0,06	0,21	0,14	NA	NA	NA	NA	NA	NA
vegbasse	2	20120912-690-343	20120912	690-343	313	396	372,89	41	46	43,51	67	74	71,85	157	184	175,99	0,34	0,46	0,4	NA	NA	NA	0,21	0,28	0,25	NA	NA	NA	NA	NA	NA
djogounpete	1	20120912-690-343	20120912	690-343	150	302	214,88	34	52	39,73	56	77	63,86	94	137	115,1	0,27	0,46	0,38	NA	NA	NA	0,17	0,28	0,23	NA	NA	NA	NA	NA	NA
djogounpete	1	20120912-690-343	20120912	690-343	146	286	195,92	35	49	40,95	58	73	63,79	95	138	118,66	0,25	0,46	0,35	NA	NA	NA	0,16	0,28	0,22	NA	NA	NA	NA	NA	NA
djogounpete	1	20120912-690-343	20120912	690-343	150	273	205,76	34	46	39,39	58	73	62,81	96	131	115,34	0,31	0,46	0,37	NA	NA	NA	0,19	0,28	0,23	NA	NA	NA	NA	NA	NA
vegbasse	2	20120912-690-343	20120912	690-343	292	356	319,88	39	44	40,96	65	71	68,64	138	153	145,96	0,36	0,45	0,41	NA	NA	NA	0,23	0,27	0,25	NA	NA	NA	NA	NA	NA
Pinotière	3	20120912-690-343	20120912	690-343	231	265	249,15	35	39	37,3	59	64	60,85	102	119	108,93	0,35	0,45	0,39	NA	NA	NA	0,22	0,27	0,24	NA	NA	NA	NA	NA	NA
vegbasse	2	20120912-690-343	20120912	690-343	154	267	203,47	35	52	41,43	58	73	64,32	106	134	121,14	0,26	0,43	0,35	NA	NA	NA	0,17	0,26	0,22	NA	NA	NA	NA	NA	NA
Pinotière	11	20120912-690-343	20120912	690-343	223	315	275,92	38	44	41,16	61	71	66,21	120	145	130,69	0,33	0,42	0,38	NA	NA	NA	0,21	0,26	0,23	NA	NA	NA	NA	NA	NA
Pinotière	11	20120912-690-343	20120912	690-343	238	321	276,13	37	44	39,34	59	71	64,89	108	144	126,09	0,34	0,46	0,4	NA	NA	NA	0,21	0,28	0,25	NA	NA	NA	NA	NA	NA
roche	4	20120912-690-343	20120912	690-343	177	219	198,41	55	72	63,28	71	81	75,05	187	252	225,46	0,06	0,2	0,13	NA	NA	NA	0,04	0,13	0,09	NA	NA	NA	NA	NA	NA
vegbasse	2	20120912-690-343	20120912	690-343	317	383	356,97	39	46	42,19	68	77	71,45	150	168	160,35	0,38	0,47	0,42	NA	NA	NA	0,23	0,28	0,26	NA	NA	NA	NA	NA	NA
ombre	7	20120912-690-343	20120912	690-343	98	321	153,3	29	42	33,28	50	73	55,77	45	134	65,92	0,33	0,49	0,41	NA	NA	NA	0,2	0,3	0,25	NA	NA	NA	NA	NA	NA
destructure	12	20120912-690-343	20120912	690-343	194	365	286,42	37	51	42,28	59	74	67,64	105	171	143,79	0,26	0,45	0,37	NA	NA	NA	0,16	0,27	0,23	NA	NA	NA	NA	NA	NA
foret	10	20120912-690-343	20120912	690-343	123	363	255,94	32	56	40,82	55	82	65,7	83	153	124,77	0,21	0,47	0,38	NA	NA	NA	0,14	0,28	0,23	NA	NA	NA	NA	NA	NA
foret	10	20120912-690-343	20120912	690-343	154	335	240,28	32	49	38,6	55	71	63,07	85	141	117,65	0,29	0,48	0,39	NA	NA	NA	0,18	0,29	0,24	NA	NA	NA	NA	NA	NA
foret	10	20120912-690-343	20120912	690-343	165	317	249,67	34	48	38,52	56	73	63,84	90	138	118,22	0,29	0,47	0,4	NA	NA	NA	0,18	0,28	0,25	NA	NA	NA	NA	NA	NA
foret	10	20120912-690-343	20120912	690-343	144	292	224,09	32	46	38,54	56	76	62,39	77	131	114,97	0,31	0,45	0,38	NA	NA	NA	0,19	0,27	0,24	NA	NA	NA	NA	NA	NA
djogounpete	1	20081307-690-344	20081307	690-344	144	184	162,66	39	44	41,72	59	64	61,63	100	124	113,8	0,27	0,34	0,31	0,43	0,49	0,46	0,17	0,21	0,19	NA	NA	NA	-0,49	-0,43	-0,46
foret	10	20081307-690-344	20081307	690-344	173	295	234,2	36	47	40,97	58	73	63,99	101	160	134,9	0,3	0,41	0,35	0,45	0,59	0,53	0,19	0,25	0,22	NA	NA	NA	-0,59	-0,45	-0,53
vegbasse	2	20081307-690-344	20081307	690-344	164	282	224,65	37	69	46,92	54	89	67,23	88	164	117,88	0,2	0,35	0,29	0,37	0,48	0,43	0,13	0,22	0,18	NA	NA	NA	-0,48	-0,37	-0,43
vegbasse	2	20081307-690-344	20081307	690-344	311	364	332,41	40	51	44,59	61	78	68,88	147	202	163	0,31	0,38	0,34	0,54	0,62	0,57	0,2	0,23	0,21	NA	NA	NA	-0,62	-0,54	-0,57
vegbasse	2	20081307-690-344	20081307	690-344	328	430	384,07	40	45	42,7	65	75	71,56	145	177	164,48	0,38	0,44	0,41	0,56	0,61	0,59	0,23	0,27	0,25	NA	NA	NA	-0,61	-0,56	-0,59
vegbasse	2	20081307-690-344	20081307	690-344	339	395	371,78	38	42	39,44	62	68	65,22	163	198	180,67	0,38	0,44	0,4	0,6	0,66	0,64	0,23	0,27	0,25	NA	NA	NA	-0,66	-0,6	-0,64
foret	10	20081307-690-344	20081307	690-344	171	264	221,19	34	43	38,51	56	66	61,11	96	147	125,93	0,31	0,42	0,37	0,45	0,58	0,53	0,2	0,25	0,23	NA	NA	NA	-0,58	-0,45	-0,53
vegbasse	2	20081307-690-344	20081307	690-344	355	419	395,69	44	49	46,31	72	82	77,15	177	192	184,38	0,39	0,42	0,41	0,58	0,62	0,6	0,24	0,26	0,25	NA	NA	NA	-0,62	-0,58	-0,6
foret	10	20081307-690-344	20081307	690-344	187	299	237,15	33	44	38,51	55	68	61,22	106	154	128,83	0,29	0,42	0,37	0,47	0,6	0,54	0,18	0,26	0,23	NA	NA	NA	-0,6	-0,47	-0,54
vegbasse	2	20081307-690-344	20081307	690-344	401	465	432,36	43	51	46,43	72	84	76,57	170	210	190,93	0,38	0,42	0,4	0,58	0,62	0,61	0,24	0,25	0,25	NA	NA	NA	-0,62	-0,58	-0,61
vegbasse	2	20081307-690-344	20081307	690-344	326	421	376,28	41	49	44,64	69	81	74,79	166	212	184,87	0,38	0,44	0,41	0,55	0,65	0,61	0,23	0,27	0,25	NA	NA	NA	-0,65	-0,55	-0,61
vegbasse	2	20081307-690-344	20081307	690-344	308	465	388,88	38	49	42,54	61	82	70,12	157	222	182,46	0,34	0,45	0,4	0,56	0,66	0,62	0,21	0,27	0,24	NA	NA	NA	-0,66	-0,56	-0,62
vegbasse	2	20081307-690-344	20081307	690-344	346	395	369,77	40	51	43,09	64	78	67,59	153	199	176,15	0,31	0,42	0,36	0,54	0,65	0,61	0,2	0,26	0,22	NA	NA	NA	-0,65	-0,54	-0,61
vegbasse	2	20081307-690-344	20081307	690-344	372	439	406,47	45	53	49,44	73	87	79,68	159	195	179,38	0,36	0,4	0,38	0,54	0,61	0,57	0,22	0,25	0,23	NA	NA	NA	-0,61	-0,54	-0,57
vegbasse	2	20081307-690-344	20081307	690-344	304	434	395,38	38	46	43,9	62	74	70,89	153	195	183,11	0,36	0,4	0,38	0,58	0,63	0,61	0,22	0,25	0,24	NA	NA	NA	-0,63	-0,58	-0,61
vegbasse	2	20081307-690-344	20081307	690-344	364	437	406,14	40	51	43,67	64	80	70,49	166	211	189,93	0,34	0,41	0,38	0,58	0,66	0,63	0,21	0,25	0,24	NA	NA	NA	-0,66	-0,58	-0,63
vegbasse	2	20081307-690-344	20081307	690-344	379	426	407,08	40	48	42,42	66	77	69,42	188	208	200,25	0,38	0,41	0,39	0,6	0,67	0,65	0,23	0,25	0,24	NA	NA	NA	-0,67	-0,6	-0,65
foret	10	20081307-690-344	20081307	690-344	140	317	217,62	33	46	38,62	53	74	61,93	87	159	124,09	0,31	0,45	0,37	0,41	0,6	0,52	0,2	0,27	0,23	NA	NA	NA	-0,6	-0,41	-0,52
roche	4	20081307-690-344	20081307	690-344	87	280	149,34	34	51	43,38	53	70	61,43	61	208	128,16	0,18	0,38	0,27	0,27	0,64	0,48	0,12	0,23	0,17	NA	NA	NA	-0,64	-0,27	-0,48
djogounpete	1	20081307-690-344	20081307	690-344	145	197	166,75	38	48	44,08	60	69	64,06	113	141	129,2	0,26	0,36	0,29	0,46	0,52	0,49	0,17	0,22	0,18	NA	NA	NA	-0,52	-0,46	-0,49
foret	10	20081307-690-344	20081307	690-344	135	344	224,63	33	51	39,75	54	78	62,76	79	171	129,23	0,27	0,43	0,36	0,39	0,63	0,53	0,17	0,26	0,22	NA	NA	NA	-0,63	-0,39	-0,53
vegbasse	2	20081307-690-344	20081307	690-344	333	403	367,53	38	43	40,22	63	69	66,4	169	203	181,92	0,34	0,44	0,4	0,62	0,68	0,64	0,21	0,27	0,25	NA	NA	NA	-0,68	-0,62	-0,64
djogounpete	1	20081307-690-344	20081307	690-344	144	200	169,87	38	44	42,04	58	65	62,08	100	124	113,53	0,25	0,38	0,31	0,42	0,5	0,46	0,16	0,23	0,19	NA	NA	NA	-0,5	-0,42	-0,46
djogounpete	1	20081307-690-344	20081307	690-344	140	195	162,45	40	47	44,05	61	69	64,06	115	138	129,63	0,24	0,33	0,29	0,45	0,53	0,49	0,16	0,21	0,19	NA	NA	NA	-0,53	-0,45	-0,49
djogounpete	1	20081307-690-344	20081307	690-344	155	195	172,41	40	44	42,37	60	65	62,54	113	127	118,9	0,27	0,35	0,31	0,44	0,5	0,47	0,17	0,22	0,19	NA	NA	NA	-0,5	-0,44	-0,47
djogounpete	1	20081307-690-344	20081307	690-344	156	217	183,5	38	46	43,59	58	70	64,68	109	134	119,1	0,27	0,34	0,31	0,43	0,51	0,46	0,17	0,21	0,19	NA	NA	NA	-0,51	-0,43	-0,46
Palmier bache	3	20081307-690-344	20081307	690-344	189	260	220,76	39	45	42,26	61	71	66,21	100	121	109,14	0,31	0,4	0,36	0,41	0,49	0,44	0,19	0,25	0,22	NA	NA	NA	-0,49	-0,41	-0,44
djogounpete	1	20081307-690-344	20081307	690-344	138	193	163,6	39	48	43,51	58	68	62,64	105	133	120,32	0,23	0,34	0,28	0,42	0,52	0,47	0,15	0,21	0,18	NA	NA	NA	-0,52	-0,42	-0,47
djogounpete	1	20081307-690-344	20081307	690-344	142	193	169,54	38	45	41,86	57	66	62,03	88	123	106,51	0,27	0,37	0,31	0,34	0,49	0,44	0,17	0,23	0,19	NA	NA	NA	-0,49	-0,34	-0,44
djogounpete	1	20081307-690-344	20081307	690-344	147	195	171,61	38	46	42,29	58	68	62,3	94	127	113,59	0,25	0,38	0,3	0,38	0,5	0,46	0,16	0,23	0,19	NA	NA	NA	-0,5	-0,38	-0,46
Palmier bache	3	20081307-690-344	20081307	690-344	160	222	201,28	39	45	42,66	61	67	64,38	107	128	115,17	0,29	0,36	0,32	0,42	0,5	0,46	0,18	0,23	0,2	NA	NA	NA	-0,5	-0,42	-0,46
foret	10	20081307-690-344	20081307	690-344	102	321	219,7	31	121	41,48	52	140	64,12	60	223	130,66	0,1	0,45	0,35	0,28	0,63	0,52	0,06	0,27	0,22	NA	NA	NA	-0,63	-0,28	-0,52
destructure	12	20081307-690-344	20081307	690-344	138	395	264,4	31	51	39,77	49	77	62,55	76	197	136,02	0,25	0,43	0,36	0,34	0,66	0,54	0,16	0,26	0,22	NA	NA	NA	-0,66	-0,34	-0,54
nuage	6	20081307-690-344	20081307	690-344	268	322	299,9	61	106	83,53	83	129	105,13	152	215	179,67	0,11	0,25	0,18	0,28	0,45	0,37	0,07	0,16	0,12	NA	NA	NA	-0,45	-0,28	-0,37
